รหัส,ชื่อยา,VEN,exclude_status
3,"PotassiumChlorideElixir 500mg(6.67meq)/5ml ,240ml",E,ตัดออก
25,เถาเอ็นอ่อนแคปซูล,N,สั่งเมื่อขอ
31,ชุดอบ,N,สั่งเมื่อขอ
54,"Aspirin 81mg ,แบบเคี้ยว",E,
64,"ยาระบายมะขามแขก ,sennakot (สสจ)",N,สั่งเมื่อขอ
65,ยาประสะมะแว้ง,N,สั่งเมื่อขอ
66,เถาวัลย์เปรียง 500mg,N,สั่งเมื่อขอ
68,"LidocaineHCL 2% ,20ml",V,
69,ไพล(เหง้า)แบบแผ่น,N,สั่งเมื่อขอ
70,ตะไคร้หอม(ใบ),N,สั่งเมื่อขอ
71,ขิง(เหง้า)แบบหัว,N,สั่งเมื่อขอ
72,มะกรูด(ผิวลูก),N,สั่งเมื่อขอ
73,มะลิ(ดอก),N,สั่งเมื่อขอ
74,อบเชยไทย(เปลือก),N,สั่งเมื่อขอ
75,บุนนาค(ดอก),N,สั่งเมื่อขอ
76,พิมเสน1กิโล(สำเร็จ),N,สั่งเมื่อขอ
77,การบูร1กิโล(สำเร็จ),N,สั่งเมื่อขอ
78,หนาด(ใบ),N,สั่งเมื่อขอ
79,หนุมานประสานกายชิดฮะลั้ง(ใบ),N,สั่งเมื่อขอ
80,"ChlorhexidineGluconate 0.2%w/v,250ml",N,
81,ยาแคปซูลขมิ้นชัน 500mg (สสจ),N,สั่งเมื่อขอ
82,ไพลครีม 30กรัม (สสจ),N,สั่งเมื่อขอ
83,ยาทาพระเส้น,N,สั่งเมื่อขอ
84,ลูกประคบ (สสจ),N,สั่งเมื่อขอ
85,ยาหอมเทพจิตร 30กรัม/ขวด,N,สั่งเมื่อขอ
86,"Phenytoinsodium 50mg ,Capsule",E,
1000001,"Triamcinoloneacetonide 0.1%cream ,5gm",E,
1000004,"ChlorpheniramineMaleate 2mg/5ml ,60ml ,CPM",E,
1000008,"CharcoalActivated 260mg ,Capsule",E,
1000011,Albendazole 200mg,E,
1000016,Allopurinol 100mg,E,
1000023,AmitriptylineHCL 10mg,E,
1000024,AmitriptylineHCL 25mg,E,
1000028,Amoxicillin trihydrate 250mg,E,
1000030,Amoxicillin trihydrate 500mg,E,
1000032,"Amoxicillin 125mg/5ml ,60ml",E,ตัดออก
1000034,Ampicillin 1g,V,
1000038,Aspirin 300mg,E,
1000039,Aspirin 81mg,E,
1000041,Atropine sulfate 0.6mg/ml,V,
1000044,BenzathineBenzylpenicillin 1.2MU,V,
1000045,ScabicideBenzylBenzoate25% 60ml,E,
1000047,Bisacodyl 5mg,E,ตัดออก
1000055,Carvedilol 12.5mg,E,
1000056,Calamine 60ml,E,
1000058,Calciumgluconate 10%,V,
1000059,Carbamazepine 200mg,E,
1000060,CeftriaxoneSodium 1gm,V,
1000065,Chloroquinephosphate 250mg,E,
1000090,"Dex-oph 4ml ,Eyedrop",E,ตัดออก
1000091,Dextran 500ml,V,
1000094,D-5-S/5 500ml,V,
1000097,D-5-S/3 500ml,V,
1000102,D-5-W 500ml,V,
1000105,Glucose 50% 50ml,V,
1000106,Diazepam 2mg,E,
1000107,Diazepam 5mg,E,
1000110,Diclofenacsodium 25mg,E,
1000112,DicloxacillinSodium 250mg,E,
1000113,Digoxin 0.25mg,E,
1000116,Dimenhydrinate 50mg,E,
1000117,"Domperidone 5mg/5ml ,30ml",E,
1000118,DopamineHCL 250mg./ 10ml,V,
1000119,Doxycycline 100mg,E,
1000122,EnalaprilMaleate 5mg,E,
1000125,"ErythromycinEstolate 125mg/5ml ,60ml",E,ตัดออก
1000131,Ferrous Fumarate 200mg,E,
1000132,Flunarizine 5mg,E,
1000134,Avamys 27.5mcg,E,
1000135,Folicacid 5mg,E,
1000136,Formalin 450 cc,E,
1000137,Furosemide 20mg./ 2ml.,V,
1000138,Furosemide 250mg/25ml,V,
1000139,Furosemide 40mg,E,
1000146,Haloperidol 5mg(Hadol5),E,
1000147,Haloperidol 5mg./ml,V,
1000148,Hista-oph 5ml,E,
1000151,Hydrogenperoxide,E,
1000157,Isoniazid 100mg,E,
1000158,Ismo 20mg,E,
1000164,Ketoconazole 200mg,E,
1000165,Lactulose 66.7gm/100ml,E,
1000168,LidocaineHCL 1% 20ml,V,
1000169,"LidocaineHCL 2% ,50ml",V,
1000173,Lorazepam 1mg,E,
1000176,Magnesiumsulfate 50%,V,
1000184,MetforminHCL 500mg,E,
1000185,MethylergometrineMaleate 0.2mg/1ml,V,
1000188,Metronidazole 500mg/100ml,V,
1000192,"MixtureCarminative ,180ml",E,
1000197,Multivitamin,E,ตัดออก
1000201,Naproxen 250mg,E,
1000211,Norfloxacin 400mg,E,
1000216,"SodiumChloride 100ml ,Nss100ml",V,
1000222,OliveOil 50 % 450ml,N,
1000223,Omeprazole 20mg,E,
1000226,"Acetaminophen 325mg ,Para",E,ตัดออก
1000227,"Acetaminophen 500mg ,Para",E,
1000230,"Acetaminophen 120mg/5ml ,60ml ,Para",E,
1000236,Pethidine 50mg/ml,N,
1000238,Phenobarbitalsodium 60mg,E,
1000242,"Phenytoinsodium 100mg ,Capsule",E,
1000243,Poly Oph 5ml,E,
1000244,PotassiumChloride 20meq/10ml,V,
1000249,Prednisolone 5mg,E,
1000253,ProctosedylRetalSuppo,E,
1000255,PropranololHCL 10mg,E,
1000256,"Propylthiouracil 50mg ,ptu",E,
1000258,Pyrazinamide 500mg,E,
1000265,Rifampicin 450mg,E,
1000267,Roxithromycin 150mg,E,
1000268,"SalbutamolSulfateMdI ,100mcg",E,
1000270,SalbutamolSulfate 2mg,E,
1000271,"SalbutamolSulfate 2mg/5ml ,60ml",E,ตัดออก
1000277,SodiumBicarbonate 300mg,E,
1000284,Spironolactone 25mg,E,
1000296,"Tetracaine 0.5% ,eyedrop ,15ml",E,
1000310,Verapamil 40mg,E,
1000321,whitfield ointment,E,ตัดออก
1019001,Glipizide 5mg,E,
1036001,DoxazosinMesilate 4mg,E,
1053001,Triferdine,E,
1068002,Dapsone 100mg,E,
1093001,Hydrocortisone 100mcg,V,
1152002,Cefazolinsodium 1gm,V,
1419041,Colchicine 0.6mg,E,
1420102,TerbutalineSulfate 0.5mg./ml.,V,
1430302,MethylSalicylateBalm,E,
1430508,"Ibuprofen 100mg/5ml ,60ml",E,
1430701,"Levonorgestrel0.15mg+Ethinylestradiol0.03mg ,Rden",E,
1430707,"DicloxacillinSodium 62.5mg/5ml ,60ml",E,
1430802,Isosorbidedinitrate 5mg sublingual,E,
1430901,LevothyroxineSodium 0.1mg(Eltroxin),E,
1431001,ChlorpromazineHCL 100mg,E,ตัดออก
1440106,"Acetylcysteine 200mg ,Fluimucil",E,
1440208,Fluconazole 200mg,E,
1440314,SilverSulfadiazine 450gm,E,
1440401,"SodiumChloride 5ml ,Nss5ml",V,
1440501,"ChlorpheniramineMaleate 4mg ,CPM",E,
1440502,"Budesonide 200mcg ,MDI",E,
1440601,Atenolol 50mg,E,
1450001,Furosemide 500mg,E,
1450003,Clonazepam 2mg,E,
1450005,VitaminC 100mg,E,
1450009,Hydralazine 20mg,V,ตัดออก
1450020,Domperidone 10mg,E,
1450501,"Salmetrol/Fluticasone 25/250mcg ,EVO",E,
1450512,"TetanusGamma 250IU/1ml ,1ml+Syr",V,
1460007,Levodopa/Benzerazide 200/50,E,ตัดออก
1460013,Methyldopa 250mg,E,
1460015,Tramadol 50mg/ml,V,
1460019,Metoclopramide 10mg,E,
1460026,Mixtard 70/30 10ml,V,
1460028,MorphineSulfate 10mg/ml/amp,N,
1460032,"Triamcinoloneacetonide 0.02%cream ,5gm",E,
1460033,Warfarinsodium 3mg,E,
1460034,Warfarinsodium 5mg,E,
1460037,"SodiumChloride0.45% 1000ml ,Nss0.45%",V,
1460042,"Urea 10% ,Cream",E,
1460044,SodiumChloride3% 500ml,V,
1460046,"AcetateRingerSolution ,1000ml ,ARI",V,
1460048,"Simethicone 80mg ,Air-X",E,
1460050,"Antacidgel ,240ml",E,
1460051,Amikacin 500mg/2ml,V,
1460054,Amiodarone 200mg,E,
1460055,Amiodarone 150mg/3ml,V,
1460058,"Levonorgestrel 1.5mg สูตรpostinor ,Mapleforte",E,
1460073,"Trimethoprim80+Sulfamethoxazole400mg ,Bactrim",V,
1460083,Ipratropium 0.02mg./Fenoteral 0.05mg.inhMDI (Berodual),E,
1460090,Calcium carbonate 600mg,E,
1460091,Calcium carbonate 1250mg,E,
1460094,Captopril 25mg,E,
1460100,Cefotaxime 1gm,V,
1460102,Ceftazidime 1gm,V,
1460107,"Chloramphenicol 1%W/V ,10ml ,ear",E,
1460108,"Chloramphenical1% ,5gm ,eyeoinment",E,
1460113,ChlorpromazineHCL 50mg,E,
1460117,Ciprofloxacin 200mg/100ml,V,
1460119,Clindamycin 600mg./4ml,V,
1460121,"Clindamycin 300mg ,Capsule",E,
1460124,Clotrimazole 100mgvaginal,E,
1460131,CyproheptadineHCL 4mg,E,
1460133,D-10-1/2S 1000ml,V,
1460136,Diethylcarbamazine citrate 300mg,E,
1460137,Dextromethophan 15mg,E,
1460144,Diltiazem 30mg,E,
1460152,Enoxaparin 60mg/0.6ml,V,
1460159,"FerrousFumarate (Fe15mg/0.6ml) ,15ml",E,
1460192,"Regular Insulin 100 IU/1ml ,10ml ,RI",V,
1460193,HydralazineHCL 25mg,E,
1460199,"Phytonadione 1mg/0.5ml ,VitaminK1 1mg",V,
1460202,"Triamcinoloneacetonide 0.1%oralbase ,Kenalog",E,
1460207,"LidocainHCL 2% ,20mg/ml ,Viscous",E,
1460231,"Misoprostol 200mcg ,Cytotec",E,
1460236,NaloxoneHCL 400mcg/ml,V,
1460254,Speeda 0.5ml,V,
1460258,Perphenazine 4mg,E,
1460259,Perphenazine 8mg,E,
1460260,Povidone-iodinegargle,E,
1460267,"ParraffinWhiteSoft ,Vasaline ,450gm",N,
1460270,Podophyllinepaint,E,
1460272,VitaminB complex,V,ตัดออก
1460279,"Sterile Water for injection 1000ml ,SWI1000",V,
1460291,ยาอมมะแว้ง,N,
1460304,Norethisteone 5mg,E,
1460306,"Clobetasolpropionate 0.05%w/w ,5gm ,Cream",E,
1460328,SodiumBicarbonate 50% 50cc/vial,V,
1460339,Streptokinase 1.5MU,V,
1460343,Oxytocin 10 unit/ml,V,
1460348,TranexamicAcid 250mg/5ml,V,
1460349,Tolperisone 50mg,E,
1460403,"CloxacillinSodium 1gm ,1X50amp",V,
1460405,Tramadol 50mg,E,
1460508,"Ipratropium/Fenoteral Forte sol teva er ,berodualER",E,
1460541,Griseofuvin 500mg,E,
1460566,"Amoxicillin 250mg/5ml ,60ml",E,
1470005,"MagnesiumHydroxide 1.2gm/15ml ,suspension ,60ml ,MOM",E,
1470008,"IsophaneInsulin(NPH) ,10ml",V,
1470011,ยาแคปซูลขมิ้นชัน 500mg,N,
1470506,"ChlorhexidineGluconate 0.12g/100ml ,360ml ,C20",E,ตัดออก
1470508,"Zidovudine syrup 10mg/ml ,60ml",E,
1470511,"DiphteriaandTetanusToxoid ,TD",V,
1470522,Metoprolol 100mg,E,
1470528,"CalciumpolystyreneSulfonate 5gm ,Kalimate",E,
1480003,Meropenam 1gm,V,
1480015,"Nevirapine 50mg ,60ml",E,
1480702,Baclofen 10mg,E,
1480909,"Azithromycin 250mg ,Capsule",E,
1500003,Acyclovir 400mg,E,
1500004,"Acyclovir 5% ,1g ,Cream",E,ตัดออก
1500005,Warfarinsodium 2mg,E,
1500007,"BrownMixture ,60ml",E,ตัดออก
1500009,"SodiumChlorideIrrigate 1000ml ,NssIrrigate",V,
